2024-10-11 15:33:57 INFO: Connecting to 149.154.167.51:443/TcpFull...
2024-10-11 15:33:59 INFO: Connection to 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Phone migrated to 4
2024-10-11 15:34:00 INFO: Reconnecting to new data center 4
2024-10-11 15:34:00 INFO: Disconnecting from 149.154.167.51:443/TcpFull...
2024-10-11 15:34:00 INFO: Disconnection from 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Connecting to 149.154.167.92:443/TcpFull...
2024-10-11 15:56:08 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:09 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:11 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:12 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:16 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:18 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:20 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:23 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:24 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:28 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:34 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:39 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:42 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:47 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:54 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:58 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:01 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:06 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:08 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:12 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:16 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:24 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:28 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:31 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:44 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:52 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:55 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:57 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:57:59 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:00 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:01 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:05 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:06 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:08 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:09 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:14 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:15 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:17 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:20 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:22 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:25 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:29 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:33 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:37 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:41 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:43 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:46 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:49 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:52 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:58:57 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:00 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:05 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:09 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:13 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:16 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:18 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:20 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:21 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:23 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:24 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:26 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:30 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:32 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:33 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:36 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:38 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:41 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:43 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:46 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:49 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:55 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:59:56 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 16:00:00 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
